material_id,formula,partner,partner_type,partner_work_function_eV,vbm_eV,cbm_eV,contact_class,loc_ooc_score_robust_min,baseline_score_v3
mp-27243,K2PtBr4,HfO2,dielectric,,,,,6.394468133374856e-08,0.8158543993801805
mp-2234,Er2S3,graphene,contact,4.6,,,unknown (missing band edges),6.377591253009536e-08,0.8850935676488867
mp-2234,Er2S3,Au,contact,5.1,,,unknown (missing band edges),6.377591253009536e-08,0.8850935676488867
mp-2234,Er2S3,Ti,contact,4.3,,,unknown (missing band edges),6.377591253009536e-08,0.8850935676488867
mp-2234,Er2S3,hBN,dielectric,,,,,6.377591253009536e-08,0.8850935676488867
mp-2234,Er2S3,Al2O3,dielectric,,,,,6.377591253009536e-08,0.8850935676488867
mp-2234,Er2S3,HfO2,dielectric,,,,,6.377591253009536e-08,0.8850935676488867
mp-1227892,BaNaVS4,graphene,contact,4.6,,,unknown (missing band edges),6.307270615816435e-08,0.8216284969228743
mp-1227892,BaNaVS4,Au,contact,5.1,,,unknown (missing band edges),6.307270615816435e-08,0.8216284969228743
mp-1227892,BaNaVS4,Ti,contact,4.3,,,unknown (missing band edges),6.307270615816435e-08,0.8216284969228743
mp-1227892,BaNaVS4,hBN,dielectric,,,,,6.307270615816435e-08,0.8216284969228743
mp-1227892,BaNaVS4,Al2O3,dielectric,,,,,6.307270615816435e-08,0.8216284969228743
mp-1227892,BaNaVS4,HfO2,dielectric,,,,,6.307270615816435e-08,0.8216284969228743
mp-32689,Pr2Se3,graphene,contact,4.6,,,unknown (missing band edges),6.268376957422517e-08,0.8630290897146566
mp-32689,Pr2Se3,Au,contact,5.1,,,unknown (missing band edges),6.268376957422517e-08,0.8630290897146566
mp-32689,Pr2Se3,Ti,contact,4.3,,,unknown (missing band edges),6.268376957422517e-08,0.8630290897146566
mp-32689,Pr2Se3,hBN,dielectric,,,,,6.268376957422517e-08,0.8630290897146566
mp-32689,Pr2Se3,Al2O3,dielectric,,,,,6.268376957422517e-08,0.8630290897146566
mp-32689,Pr2Se3,HfO2,dielectric,,,,,6.268376957422517e-08,0.8630290897146566
mp-32798,La2Se3,graphene,contact,4.6,,,unknown (missing band edges),6.264827372115582e-08,0.8681874574243346
mp-32798,La2Se3,Au,contact,5.1,,,unknown (missing band edges),6.264827372115582e-08,0.8681874574243346
mp-32798,La2Se3,Ti,contact,4.3,,,unknown (missing band edges),6.264827372115582e-08,0.8681874574243346
mp-32798,La2Se3,hBN,dielectric,,,,,6.264827372115582e-08,0.8681874574243346
mp-32798,La2Se3,Al2O3,dielectric,,,,,6.264827372115582e-08,0.8681874574243346
mp-32798,La2Se3,HfO2,dielectric,,,,,6.264827372115582e-08,0.8681874574243346
mp-675237,Na3GdI6,graphene,contact,4.6,,,unknown (missing band edges),6.12439465097879e-08,0.8557793866683201
mp-675237,Na3GdI6,Au,contact,5.1,,,unknown (missing band edges),6.12439465097879e-08,0.8557793866683201
mp-675237,Na3GdI6,Ti,contact,4.3,,,unknown (missing band edges),6.12439465097879e-08,0.8557793866683201
mp-675237,Na3GdI6,hBN,dielectric,,,,,6.12439465097879e-08,0.8557793866683201
mp-675237,Na3GdI6,Al2O3,dielectric,,,,,6.12439465097879e-08,0.8557793866683201
mp-675237,Na3GdI6,HfO2,dielectric,,,,,6.12439465097879e-08,0.8557793866683201
mp-29035,Sr(YS2)2,graphene,contact,4.6,,,unknown (missing band edges),6.10373354122338e-08,0.8365036958529667
mp-29035,Sr(YS2)2,Au,contact,5.1,,,unknown (missing band edges),6.10373354122338e-08,0.8365036958529667
mp-29035,Sr(YS2)2,Ti,contact,4.3,,,unknown (missing band edges),6.10373354122338e-08,0.8365036958529667
mp-29035,Sr(YS2)2,hBN,dielectric,,,,,6.10373354122338e-08,0.8365036958529667
mp-29035,Sr(YS2)2,Al2O3,dielectric,,,,,6.10373354122338e-08,0.8365036958529667
mp-29035,Sr(YS2)2,HfO2,dielectric,,,,,6.10373354122338e-08,0.8365036958529667
